ride_id,timestamp,passenger_id,trip_distance,fare_amount
ride_3_7322,2025-11-22 12:31:05.622323,72,0.67,17.37
ride_3_9670,2025-11-21 12:31:05.622354,26,17.67,28.46
ride_3_4435,2025-11-20 12:31:05.622359,62,19.91,82.82
ride_3_3904,2025-11-22 12:31:05.622365,39,15.18,64.38
ride_3_8544,2025-11-22 12:31:05.622372,2,14.43,80.1
ride_3_7726,2025-11-20 12:31:05.622381,84,7.39,65.2
ride_3_3857,2025-11-20 12:31:05.622389,6,3.2,24.25
ride_3_9790,2025-11-22 12:31:05.622396,42,8.42,30.26
ride_3_8895,2025-11-17 12:31:05.622403,87,13.72,30.82
ride_3_3013,2025-11-23 12:31:05.622411,34,13.78,33.46
ride_3_9580,2025-11-19 12:31:05.622418,31,18.56,9.79
ride_3_5690,2025-11-24 12:31:05.622426,74,10.05,96.58
ride_3_7704,2025-11-21 12:31:05.622433,50,17.74,38.61
ride_3_4341,2025-11-17 12:31:05.622441,31,10.15,44.18
ride_3_9959,2025-11-20 12:31:05.622448,80,5.58,86.62
ride_3_3987,2025-11-23 12:31:05.622456,2,15.04,7.39
ride_3_3841,2025-11-23 12:31:05.622464,38,16.4,52.82
ride_3_4776,2025-11-19 12:31:05.622471,6,8.37,48.62
ride_3_2364,2025-11-20 12:31:05.622479,88,18.76,83.47
ride_3_5201,2025-11-23 12:31:05.622486,2,9.8,45.31
